	1.376450	1.000000E+9	-6.041906
	1.376450	1.500000E+9	-7.219635
	1.376450	2.000000E+9	-7.928511
	1.376450	2.500000E+9	-10.444400
	1.376450	3.000000E+9	-11.211720
	1.376450	3.500000E+9	-12.827970
	1.376450	4.000000E+9	-12.503790
	1.376450	4.500000E+9	-14.542580
	1.376450	5.000000E+9	-13.938440
	1.376450	5.500000E+9	-15.031140
	1.376450	6.000000E+9	-13.793810
	1.376450	6.500000E+9	-12.281000
	1.376450	7.000000E+9	-14.620610
	1.376450	7.500000E+9	-15.192970
	1.376450	8.000000E+9	-13.725680
	1.376450	8.500000E+9	-13.405640
	1.376450	9.000000E+9	-15.216240
	1.376450	9.500000E+9	-15.816070
	1.376450	1.000000E+10	-17.040260
	1.376450	1.050000E+10	-16.458210
	1.376450	1.100000E+10	-15.353450
	1.376450	1.150000E+10	-15.744650
	1.376450	1.200000E+10	-17.933860
	1.376450	1.250000E+10	-19.178890
	1.376450	1.300000E+10	-20.575000
	1.376450	1.350000E+10	-21.686680
	1.376450	1.400000E+10	-21.409030
	1.376450	1.450000E+10	-19.218260
	1.376450	1.500000E+10	-19.642060
	1.376450	1.550000E+10	-19.537050
	1.376450	1.600000E+10	-20.514280
	1.376450	1.650000E+10	-19.205230
	1.376450	1.700000E+10	-19.179220
	1.376450	1.750000E+10	-20.046810
	1.376450	1.800000E+10	-20.375290
	1.376450	1.850000E+10	-22.609340
	1.376450	1.900000E+10	-23.111220
	1.376450	1.950000E+10	-21.685750
	1.376450	2.000000E+10	-22.217490
	1.376450	2.050000E+10	-24.996860
	1.376450	2.100000E+10	-22.829820
	1.376450	2.150000E+10	-30.760880
	1.376450	2.200000E+10	-23.358180
	1.376450	2.250000E+10	-22.707180
	1.376450	2.300000E+10	-24.142360
	1.376450	2.350000E+10	-26.440490
	1.376450	2.400000E+10	-33.135830
	1.376450	2.450000E+10	-27.040390
	1.376450	2.500000E+10	-27.570900
	1.376450	2.550000E+10	-35.692700
	1.376450	2.600000E+10	-32.146030
	1.376450	2.650000E+10	-31.353010
	1.376450	2.700000E+10	-26.338330
	1.376450	2.750000E+10	-25.359330
	1.376450	2.800000E+10	-25.465820
	1.376450	2.850000E+10	-23.930670
	1.376450	2.900000E+10	-23.170180
	1.376450	2.950000E+10	-24.979210
	1.376450	3.000000E+10	-26.565890
	1.376450	3.050000E+10	-34.417420
	1.376450	3.100000E+10	-38.627910
	1.376450	3.150000E+10	-34.047140
	1.376450	3.200000E+10	-45.732770
	1.376450	3.250000E+10	-31.769220
	1.376450	3.300000E+10	-31.831460
	1.376450	3.350000E+10	-27.858060
	1.376450	3.400000E+10	-26.663240
	1.376450	3.450000E+10	-26.712790
	1.376450	3.500000E+10	-32.066460
	1.374890	1.000000E+9	-6.040432
	1.374890	1.500000E+9	-7.218994
	1.374890	2.000000E+9	-7.928445
	1.374890	2.500000E+9	-10.443940
	1.374890	3.000000E+9	-11.211610
	1.374890	3.500000E+9	-12.828100
	1.374890	4.000000E+9	-12.504180
	1.374890	4.500000E+9	-14.542510
	1.374890	5.000000E+9	-13.937560
	1.374890	5.500000E+9	-15.030620
	1.374890	6.000000E+9	-13.793520
	1.374890	6.500000E+9	-12.280680
	1.374890	7.000000E+9	-14.620500
	1.374890	7.500000E+9	-15.192250
	1.374890	8.000000E+9	-13.726230
	1.374890	8.500000E+9	-13.405890
	1.374890	9.000000E+9	-15.215490
	1.374890	9.500000E+9	-15.815770
	1.374890	1.000000E+10	-17.040000
	1.374890	1.050000E+10	-16.457450
	1.374890	1.100000E+10	-15.353800
	1.374890	1.150000E+10	-15.744110
	1.374890	1.200000E+10	-17.933940
	1.374890	1.250000E+10	-19.178420
	1.374890	1.300000E+10	-20.574880
	1.374890	1.350000E+10	-21.685930
	1.374890	1.400000E+10	-21.407640
	1.374890	1.450000E+10	-19.216620
	1.374890	1.500000E+10	-19.641260
	1.374890	1.550000E+10	-19.536380
	1.374890	1.600000E+10	-20.514500
	1.374890	1.650000E+10	-19.205260
	1.374890	1.700000E+10	-19.179030
	1.374890	1.750000E+10	-20.047380
	1.374890	1.800000E+10	-20.375380
	1.374890	1.850000E+10	-22.609260
	1.374890	1.900000E+10	-23.111080
	1.374890	1.950000E+10	-21.685430
	1.374890	2.000000E+10	-22.217440
	1.374890	2.050000E+10	-24.996420
	1.374890	2.100000E+10	-22.829050
	1.374890	2.150000E+10	-30.760880
	1.374890	2.200000E+10	-23.358180
	1.374890	2.250000E+10	-22.707180
	1.374890	2.300000E+10	-24.142360
	1.374890	2.350000E+10	-26.440490
	1.374890	2.400000E+10	-33.135830
	1.374890	2.450000E+10	-27.040390
	1.374890	2.500000E+10	-27.570900
	1.374890	2.550000E+10	-35.692700
	1.374890	2.600000E+10	-32.146030
	1.374890	2.650000E+10	-31.353010
	1.374890	2.700000E+10	-26.338330
	1.374890	2.750000E+10	-25.359330
	1.374890	2.800000E+10	-25.465820
	1.374890	2.850000E+10	-23.930470
	1.374890	2.900000E+10	-23.168700
	1.374890	2.950000E+10	-24.980040
	1.374890	3.000000E+10	-26.564860
	1.374890	3.050000E+10	-34.418450
	1.374890	3.100000E+10	-38.620560
	1.374890	3.150000E+10	-34.049730
	1.374890	3.200000E+10	-45.738440
	1.374890	3.250000E+10	-31.770860
	1.374890	3.300000E+10	-31.831210
	1.374890	3.350000E+10	-27.858930
	1.374890	3.400000E+10	-26.664320
	1.374890	3.450000E+10	-26.713050
	1.374890	3.500000E+10	-32.064950
	1.372440	1.000000E+9	-6.040574
	1.372440	1.500000E+9	-7.220021
